Year	LatLong	1985	1985	1985	1985	1986	1986	1986	1986	1987	1987	1987	1987	1988	1988	1988	1988	1989	1989	1989	1989	1990	1990	1990	1990	1991	1991	1991	1991	1992	1992	1992	1992	1993	1993	1993	1993	1994	1994	1994	1994	1995	1995	1995	1995	1996	1996	1996	1996	1997	1997	1997	1997	1998	1998	1998	1998	1999	1999	1999	1999	2000	2000	2000	2000	2001	2001	2001	2001	2002	2002	2002	2002	2003	2003	2003	2003	2004	2004	2004	2004	2005	2005	2005	2005	2006	2006	2006	2006	2007	2007	2007	2007	2008	2008	2008	2008	2009	2009	2009	2009	2010	2010	2010	2010	2011	2011	2011	2011	2012	2012	2012	2012	2013	2013	2013	2013	2014	2014	2014	2014	2015	2015	2015	2015
"Phoenix PD, AZ"	"33.4484, -112.0740"	12	890746	89	10	12	927055	122	13.2	12	933177	111	11.9	12	951717	106	11.1	12	941948	126	13.4	12	983403	128	13	12	995895	128	12.9	12	999900	136	13.6	12	1039369	158	15.2	12	1076108	231	21.5	12	1085706	214	19.7	12	1139793	186	16.3	12	1172538	175	14.9	12	1225692	185	15.1	12	1225881	214	17.5	12	1321045	152	11.5	12	1366542	209	15.3	12	1404938	177	12.6	12	1403228	241	17.2	12	1428973	202	14.1	12	1466296	220	15	12	1517443	235	15.5	12	1541698	212	13.8	12	1585838	167	10.5	12	1597397	122	7.6	12	1445632	116	8	12	1466097	116	7.9	12	1485509	123	8.3	12	1502139	118	7.9	12	1529852	114	7.5	12	1559744	112	7.2
"Los Angeles PD, CA"	"34.0522, -118.2437"	12	3186459	777	24.4	12	3260856	834	25.6	12	3341726	811	24.3	12	3402342	736	21.6	12	3441449	877	25.5	12	3485398	983	28.2	12	3558316	1027	28.9	12	3615355	1094	30.3	12	3525317	1076	30.5	12	3550381	845	23.8	12	3466211	849	24.5	12	3498139	711	20.3	12	3541309	576	16.3	12	3621680	426	11.8	12	3650138	425	11.6	12	3694820	550	14.9	12	3763486	588	15.6	12	3830561	654	17.1	12	3838838	515	13.4	12	3864018	518	13.4	12	3871077	489	12.6	12	3879455	480	12.4	12	3870487	395	10.2	12	3850920	384	10	12	3848776	312	8.1	12	3792621	293	7.7	12	3837207	297	7.7	12	3855122	299	7.8	12	3878725	251	6.5	12	3906772	260	6.7	12	3962726	282	7.1
"San Diego PD, CA"	"32.7157, -117.1611"	12	988284	96	9.7	12	1011376	102	10.1	12	1040851	96	9.2	12	1073466	144	13.4	12	1098639	121	11	12	1110549	135	12.2	12	1133681	167	14.7	12	1151853	146	12.7	12	1160603	133	11.5	12	1168785	113	9.7	12	1157771	91	7.9	12	1168364	79	6.8	12	1182653	67	5.7	12	1205728	42	3.5	12	1238549	57	4.6	12	1223400	54	4.4	12	1246136	50	4	12	1268346	47	3.7	12	1272746	65	5.1	12	1281366	62	4.8	12	1272148	51	4	12	1266847	68	5.4	12	1261196	59	4.7	12	1271655	55	4.3	12	1314773	41	3.1	12	1307402	29	2.2	12	1316919	38	2.9	12	1338477	47	3.5	12	1349306	39	2.9	12	1368690	32	2.3	12	1400467	37	2.6
"San Jose PD, CA"	"37.3382, -121.8863"	12	706062	55	7.8	12	722560	39	5.4	12	730079	24	3.3	12	732022	37	5.1	12	757964	38	5	12	782248	35	4.5	12	798542	53	6.6	12	811342	43	5.3	12	809528	41	5.1	12	815235	33	4	12	822845	38	4.6	12	830374	40	4.8	12	840529	43	5.1	12	860211	29	3.4	12	875840	25	2.9	12	894943	19	2.1	12	913513	22	2.4	12	927821	26	2.8	12	909890	29	3.2	12	908712	24	2.6	12	910528	26	2.9	12	920548	29	3.2	12	934553	33	3.5	12	945197	31	3.3	12	954009	28	2.9	12	945942	20	2.1	12	957062	39	4.1	12	976459	45	4.6	12	992143	38	3.8	12	1009679	32	3.2	12	1031458	30	2.9
"Chicago PD, IL"	"41.8781, -87.6298"	12	2998841	666	22.2	12	3003105	744	24.8	12	3018338	687	22.8	12	2994100	660	22	12	2988260	742	24.8	12	2783726	850	30.5	12	2811478	925	32.9	12	2832901	939	33.1	12	2788996	845	30.3	12	2802494	928	33.1	12	2749811	824	30	12	2754118	789	28.6	12	2765852	757	27.4	12	2750917	703	25.6	12	2821032	641	22.7	12	2896016	631	21.8	12	2910709	666	22.9	12	2938299	648	22.1	12	2898374	598	20.6	12	2882746	448	15.5	12	2873441	448	15.6	12	2857796	468	16.4	12	2824434	443	15.7	12	2829304	510	18	12	2848431	458	16.1	12	2695598	432	16	12	2703713	431	15.9	12	2708382	500	18.5	12	2720554	416	15.3	12	2724121	415	15.2	12	2728695	478	17.5
"Las Vegas Metropolitan PD, NV"	"36.1699, -115.1398"	12	456749	57	12.5	12	463158	75	16.2	12	481393	47	9.8	12	510941	54	10.6	12	536148	67	12.5	12	616243	79	12.8	12	656391	103	15.7	12	678385	99	14.6	12	717441	91	12.7	12	752577	105	14	12	793432	118	14.9	12	831303	161	19.4	10	869696	121		12	908596	116	12.8	12	922450	109	11.8	12	1060541	90	8.5	12	1117763	133	11.9	12	1153546	137	11.9	12	1189388	141	11.9	12	1239805	131	10.6	12	1281698	145	11.3	12	1315625	152	11.6	12	1341156	119	8.9	12	1353175	120	8.9	12	1377282	111	8.1	12	1446280	107	7.4	12	1458474	82	5.6	12	1479393	76	5.1	12	1500455	97	6.5	12	1530899	122	8	12	1562134	127	8.1
"New York PD, NY"	"40.7128, -74.0059"	12	7183984	1384	19.3	12	7179609	1582	22	12	7284319	1672	23	12	7346352	1896	25.8	12	7369454	1905	25.8	12	7322564	2245	30.7	12	7350023	2154	29.3	12	7375097	1995	27.1	12	7347257	1946	26.5	12	7336224	1561	21.3	12	7319546	1177	16.1	12	7339594	983	13.4	12	7320477	770	10.5	12	7357745	633	8.6	12	7429263	664	8.9	12	8008278	673	8.4	12	8023018	714	8.9	12	8084693	587	7.3	12	8098066	597	7.4	12	8101321	570	7	12	8115690	539	6.6	12	8165001	596	7.3	12	8220196	496	6	12	8345075	523	6.3	12	8400907	471	5.6	12	8175133	536	6.6	12	8211875	515	6.3	12	8289415	419	5.1	12	8396126	335	4	12	8473938	333	3.9	12	8550861	352	4.1
"Philadelphia PD, PA"	"39.9526, -75.1652"	12	1640102	273	16.6	12	1645144	343	20.8	12	1649364	338	20.5	12	1657285	374	22.6	12	1652188	475	28.7	12	1585577	503	31.7	12	1596699	440	27.6	12	1603638	425	26.5	12	1559534	439	28.1	12	1560576	404	25.9	12	1529848	432	28.2	12	1528403	420	27.5	12	1524409	418	27.4	12	1449419	338	23.3	12	1435382	292	20.3	12	1517550	319	21	12	1518302	309	20.4	12	1524226	288	18.9	12	1495903	348	23.3	12	1484224	330	22.2	12	1472915	377	25.6	12	1464576	407	27.8	12	1435533	392	27.3	12	1441117	331	23	12	1547605	302	19.5	12	1526006	306	20.1	12	1530873	324	21.2	12	1538957	331	21.5	12	1553153	247	15.9	12	1559062	248	15.9	12	1567810	280	17.9
"Dallas PD, TX"	"32.7767, -96.7970"	12	997467	301	30.2	12	1016488	347	34.1	12	1009947	323	32	12	1017818	366	36	12	996320	351	35.2	12	1006877	447	44.4	12	1028362	500	48.6	12	1046562	387	37	12	1042619	317	30.4	12	1062677	295	27.8	12	1042088	276	26.5	12	1060585	217	20.5	12	1077829	209	19.4	12	1087178	252	23.2	12	1091386	191	17.5	12	1188580	231	19.4	12	1215553	240	19.7	12	1241481	196	15.8	12	1230302	226	18.4	12	1228613	248	20.2	12	1230303	202	16.4	12	1248223	187	15	12	1239104	200	16.1	12	1276214	170	13.3	12	1290266	166	12.9	12	1197816	148	12.4	12	1223021	133	10.9	12	1241549	154	12.4	12	1255015	143	11.4	12	1272396	116	9.1	12	1301977	136	10.4
